Date,UIUC_Tests,UIUC_Confirmed,B10_Tests,B10_Confirmed,Illinois_Tests,Illinois_Confirmed,Illinois_Deaths,US_Tests,US_Confirmed,US_Deaths,IL-UIUC_Tests,IL-UIUC_Confirmed
2020-07-06,99.0,0.0,10953.0,254.0,1783962.0,147865,7026,36031633.0,2936077,130712,1783863.0,147865.0
2020-07-07,335.0,0.0,11189.0,254.0,1810956.0,149574,7273,36877410.0,2996098,131934,1810621.0,149574.0
2020-07-08,933.0,2.0,11787.0,256.0,1843698.0,150554,7309,37430850.0,3054699,132797,1842765.0,150552.0
2020-07-09,1652.0,3.0,12506.0,259.0,1879878.0,151572,7329,38032150.0,3117946,133800,1878226.0,151569.0
2020-07-10,2382.0,8.0,13236.0,264.0,1912875.0,152899,7345,38918605.0,3185737,134624,1910493.0,152891.0
2020-07-11,2382.0,8.0,13923.0,265.0,1945220.0,154094,7369,39552579.0,3245925,135314,1942838.0,154086.0
2020-07-12,2382.0,8.0,14448.0,281.0,1984114.0,155048,7388,40281360.0,3304942,135773,1981732.0,155040.0
2020-07-13,3051.0,10.0,15117.0,283.0,2014126.0,155931,7394,41003459.0,3364157,136140,2011075.0,155921.0
2020-07-14,3679.0,12.0,15745.0,285.0,2042572.0,156638,7419,41763741.0,3431574,137066,2038893.0,156626.0
2020-07-15,4217.0,18.0,16283.0,291.0,2080733.0,157825,7427,42520211.0,3498902,138034,2076516.0,157807.0
2020-07-16,4834.0,25.0,16900.0,302.0,2123739.0,159082,7452,43350908.0,3576157,138977,2118905.0,159057.0
2020-07-17,5559.0,28.0,17625.0,305.0,2167474.0,160509,7465,44202696.0,3647715,139907,2161915.0,160481.0
2020-07-18,5559.0,28.0,18264.0,307.0,2213573.0,161785,7483,44964467.0,3711413,140775,2208014.0,161757.0
2020-07-19,5559.0,28.0,18719.0,328.0,2245686.0,162750,7488,45733290.0,3773260,141222,2240127.0,162722.0
2020-07-20,6399.0,31.0,19559.0,331.0,2280284.0,163922,7494,46468487.0,3834677,141736,2273885.0,163891.0
2020-07-21,6906.0,34.0,20066.0,334.0,2310029.0,164864,7517,47223345.0,3899211,142843,2303123.0,164830.0
2020-07-22,7538.0,37.0,20698.0,337.0,2349662.0,166475,7540,48019740.0,3970121,144059,2342124.0,166438.0
2020-07-23,8290.0,43.0,21450.0,348.0,2389368.0,168096,7560,48793933.0,4038816,145153,2381078.0,168053.0
2020-07-24,9128.0,46.0,22288.0,351.0,2433765.0,169696,7577,49837057.0,4112531,146285,2424637.0,169650.0
2020-07-25,9128.0,46.0,22761.0,360.0,2471965.0,171122,7589,50634646.0,4178970,147184,2462837.0,171076.0
2020-07-26,9128.0,46.0,23426.0,382.0,2512809.0,172663,7590,51490457.0,4233923,147656,2503681.0,172617.0
2020-07-27,9963.0,50.0,24378.0,410.0,2543376.0,173894,7608,52251297.0,4290337,148776,2533413.0,173844.0
2020-07-28,10704.0,52.0,25119.0,412.0,2571707.0,174968,7638,52984540.0,4356206,150150,2561003.0,174916.0
2020-07-29,11449.0,52.0,25864.0,412.0,2609894.0,176363,7654,53824408.0,4426982,151582,2598445.0,176311.0
2020-07-30,12185.0,56.0,26600.0,417.0,2651028.0,178135,7670,54643678.0,4495015,152791,2638843.0,178079.0
2020-07-31,13243.0,57.0,27658.0,418.0,2700849.0,180115,7692,55371946.0,4562107,154034,2687606.0,180058.0
2020-08-01,13243.0,57.0,28766.0,452.0,2740658.0,181754,7700,56084993.0,4620592,155149,2727415.0,181697.0
2020-08-02,13243.0,57.0,29653.0,468.0,2779603.0,183224,7714,56810895.0,4668172,155552,2766360.0,183167.0
2020-08-03,15139.0,58.0,31644.0,477.0,2808078.0,184522,7723,57542585.0,4713540,156082,2792939.0,184464.0
2020-08-04,16898.0,61.0,33698.0,482.0,2850676.0,185993,7742,58238171.0,4771080,157460,2833778.0,185932.0
2020-08-05,18303.0,66.0,35158.0,488.0,2897344.0,187752,7770,58919579.0,4823890,158836,2879041.0,187686.0
2020-08-06,20126.0,71.0,37025.0,501.0,2939030.0,189705,7791,59651279.0,4883582,160089,2918904.0,189634.0
2020-08-07,22635.0,77.0,39715.0,512.0,2985918.0,191808,7822,60414162.0,4941755,161331,2963283.0,191731.0
2020-08-08,22635.0,77.0,40910.0,518.0,3033934.0,193998,7840,61079191.0,4997929,162408,3011299.0,193921.0
2020-08-09,22635.0,77.0,41817.0,527.0,3075288.0,195380,7845,61791175.0,5044864,162919,3052653.0,195303.0
2020-08-10,26745.0,79.0,46128.0,542.0,3107641.0,196699,7846,62511778.0,5094400,163446,3080896.0,196620.0
2020-08-11,30355.0,83.0,49993.0,547.0,3149003.0,198248,7866,63250861.0,5141208,164510,3118648.0,198165.0
2020-08-12,32793.0,87.0,53099.0,559.0,3191101.0,199893,7881,63714152.0,5197411,166015,3158308.0,199806.0
2020-08-13,32793.0,87.0,53655.0,563.0,3237107.0,201727,7905,64829910.0,5248958,167085,3204314.0,201640.0
2020-08-14,32793.0,87.0,54731.0,581.0,3286680.0,204023,7932,65675228.0,5313252,168423,3253887.0,203936.0
2020-08-15,34429.0,93.0,59953.0,617.0,3331094.0,205851,7937,66419177.0,5361165,169457,3296665.0,205758.0
2020-08-16,36882.0,100.0,64743.0,661.0,3368183.0,207412,7955,67201705.0,5403213,170028,3331301.0,207312.0
2020-08-17,45946.0,124.0,75502.0,717.0,3406429.0,209185,7967,68055266.0,5438325,170474,3360483.0,209061.0
2020-08-18,52108.0,144.0,83398.0,753.0,3440604.0,210924,7994,68704049.0,5483388,171799,3388496.0,210780.0
2020-08-19,58408.0,173.0,92740.0,797.0,3490903.0,213220,8017,69369194.0,5529824,173152,3432495.0,213047.0
2020-08-20,69150.0,225.0,109810.0,882.0,3542515.0,215052,8044,70030422.0,5573847,174231,3473365.0,214827.0
2020-08-21,80027.0,279.0,123851.0,987.0,3594336.0,217345,8066,70801996.0,5622470,175336,3514309.0,217066.0
2020-08-22,83353.0,322.0,132604.0,1062.0,3651102.0,219701,8083,71559257.0,5667070,176318,3567749.0,219379.0
2020-08-23,87827.0,375.0,140220.0,1181.0,3705453.0,221594,8089,72181568.0,5701645,176768,3617626.0,221219.0
2020-08-24,105483.0,454.0,162049.0,1488.0,3741608.0,223206,8097,72888396.0,5739536,177210,3636125.0,222752.0
2020-08-25,121333.0,543.0,182131.0,1693.0,3782467.0,224887,8126,73534306.0,5777710,178449,3661134.0,224344.0
2020-08-26,128145.0,597.0,196811.0,1943.0,3832829.0,227043,8163,74547615.0,5821819,179674,3704684.0,226446.0
2020-08-27,143268.0,657.0,220960.0,2215.0,3877339.0,228750,8186,75299792.0,5867785,180785,3734071.0,228093.0
2020-08-28,158298.0,722.0,246779.0,2716.0,3926007.0,231186,8206,76083027.0,5913941,181756,3767709.0,230464.0
2020-08-29,161193.0,772.0,255918.0,3337.0,3974791.0,233066,8217,76848404.0,5961094,182714,3813598.0,232294.0
2020-08-30,164833.0,876.0,265477.0,3536.0,4018484.0,235058,8228,77589609.0,5996431,183024,3853651.0,234182.0
2020-08-31,182060.0,1106.0,290073.0,4243.0,4065863.0,236724,8235,78290807.0,6030587,183597,3883803.0,235618.0
2020-09-01,196427.0,1305.0,311172.0,5081.0,4088824.0,238216,8273,78994753.0,6073840,184664,3892397.0,236911.0
2020-09-02,203516.0,1425.0,326153.0,5489.0,4121575.0,240344,8300,79644494.0,6113510,185720,3918059.0,238919.0
2020-09-03,218357.0,1513.0,351935.0,6320.0,4162370.0,241704,8324,80379571.0,6150016,186790,3944013.0,240191.0
2020-09-04,232561.0,1617.0,384417.0,8416.0,4311869.0,247298,8362,81291589.0,6200518,187755,4079308.0,245681.0
2020-09-05,235170.0,1654.0,396086.0,8663.0,4373804.0,250102,8385,82097849.0,6244970,188538,4138634.0,248448.0
2020-09-06,238157.0,1691.0,404725.0,8937.0,4420300.0,251515,8390,82836567.0,6276365,188941,4182143.0,249824.0
2020-09-07,244456.0,1760.0,412619.0,9262.0,4449275.0,252884,8398,83425476.0,6300622,189208,4204819.0,251124.0
2020-09-08,256077.0,1841.0,440727.0,9738.0,4480638.0,254276,8405,83962996.0,6327009,189653,4224561.0,252435.0
2020-09-09,268070.0,1888.0,461322.0,10410.0,4528667.0,255613,8433,84556989.0,6360212,190859,4260597.0,253725.0
2020-09-10,274696.0,1922.0,482114.0,11530.0,4577649.0,257566,8461,85179507.0,6396100,191766,4302953.0,255644.0
2020-09-11,285949.0,1957.0,507327.0,12484.0,4634477.0,259879,8505,87225437.0,6443652,192979,4348528.0,257922.0
2020-09-12,289958.0,1967.0,517047.0,12650.0,4691071.0,261999,8527,88046815.0,6485123,193693,4401113.0,260032.0
2020-09-13,294526.0,1984.0,527138.0,12917.0,4737961.0,263459,8541,88818290.0,6520122,194071,4443435.0,261475.0
2020-09-14,304740.0,2024.0,543142.0,13228.0,4773891.0,264831,8546,89602117.0,6553652,194493,4469151.0,262807.0
2020-09-15,315972.0,2069.0,564074.0,13413.0,4812922.0,266295,8564,89986137.0,6592342,195781,4496950.0,264226.0
2020-09-16,325937.0,2093.0,581272.0,13749.0,4865233.0,268238,8599,90709159.0,6630051,196763,4539296.0,266145.0
2020-09-17,333739.0,2111.0,601147.0,14284.0,4923033.0,270294,8624,91545027.0,6674411,197633,4589294.0,268183.0
2020-09-18,344303.0,2138.0,617256.0,14479.0,4985054.0,272517,8647,93148481.0,6723933,198570,4640751.0,270379.0
2020-09-19,348436.0,2151.0,624567.0,14580.0,5059340.0,275041,8672,94209892.0,6774114,199282,4710904.0,272890.0
