Date,UIUC_Tests,UIUC_Confirmed,B10_Tests,B10_Confirmed,Illinois_Tests,Illinois_Confirmed,Illinois_Deaths,US_Tests,US_Confirmed,US_Deaths,IL-UIUC_Tests,IL-UIUC_Confirmed,pctIL_Tests,pctUS_Tests,pctIL_Confirmed,pctUS_Confirmed,ILxUIUC_pctPos,Illinois_pctPos
2020-07-06,99.0,0.0,12165.0,273.0,1783962.0,147865,7026,36031633.0,2933622,130712,1783863.0,147865.0,0.005549445559939057,0.00027475857116994945,0.0,0.0,8.289033406713408,8.288573411317056
2020-07-07,335.0,0.0,12401.0,273.0,1810956.0,149574,7273,36877410.0,2993781,131934,1810621.0,149574.0,0.018498516805488373,0.0009084152059485739,0.0,0.0,8.260922633726219,8.259394485564531
2020-07-08,933.0,2.0,12999.0,275.0,1843698.0,150554,7309,37430850.0,3052961,132797,1842765.0,150552.0,0.05060481705789126,0.0024925963476650943,0.0013284270095779587,6.551017192817072e-05,8.16989686693637,8.165870983208746
2020-07-09,1652.0,3.0,13718.0,276.0,1879878.0,151572,7329,38032150.0,3116244,133800,1878226.0,151569.0,0.08787804314960865,0.004343693427797272,0.0019792573826300374,9.62697401102096e-05,8.069795647595125,8.062863653917967
2020-07-10,2382.0,8.0,14448.0,285.0,1912875.0,152899,7345,38918605.0,3183968,134624,1910493.0,152891.0,0.12452460301901588,0.0061204660341756855,0.005232212113879096,0.00025125880662117206,8.002698779843737,7.993151669607267
2020-07-11,2382.0,8.0,14448.0,285.0,1945220.0,154094,7369,39552579.0,3244126,135314,1942838.0,154086.0,0.12245401548410977,0.006022363295197514,0.005191636273962646,0.00024659954638013446,7.930975202255669,7.921674669189089
2020-07-12,2382.0,8.0,15087.0,287.0,1984114.0,155048,7388,40281360.0,3303012,135773,1981732.0,155040.0,0.12005358563066437,0.005913405108467043,0.005159692482328053,0.00024220317697907243,7.823459478880091,7.814470337893892
2020-07-13,3051.0,10.0,16211.0,310.0,2014126.0,155931,7394,41003459.0,3362489,136140,2011075.0,155921.0,0.15148009608137722,0.007440835662181573,0.006413092970608795,0.0002973987424196778,7.753117113981328,7.741869177995816
2020-07-14,3679.0,12.0,16839.0,312.0,2042572.0,156638,7419,41763741.0,3429453,137066,2038893.0,156626.0,0.1801160497647084,0.008809076753923936,0.007660976263741876,0.00034991002938369474,7.68191366589615,7.668664801044957
2020-07-15,4217.0,18.0,17377.0,318.0,2080733.0,157825,7427,42520211.0,3497081,138034,2076516.0,157807.0,0.20266896329322406,0.009917636579931366,0.011405037224774275,0.0005147149865845258,7.5996043372649185,7.585067377698148
2020-07-16,4834.0,25.0,17994.0,325.0,2123739.0,159082,7452,43350908.0,3574454,138977,2118905.0,159057.0,0.22761742379831043,0.011150862168792405,0.015715165763568475,0.0006994075179034337,7.506565891344822,7.490656808581469
2020-07-17,5559.0,28.0,18719.0,333.0,2167474.0,160509,7465,44202696.0,3646470,139907,2161915.0,160481.0,0.25647366473600147,0.012576155988313473,0.017444504669520088,0.0007678659086733197,7.423094802524614,7.405348345585691
2020-07-18,5559.0,28.0,18719.0,333.0,2213573.0,161785,7483,44964467.0,3709220,140775,2208014.0,161757.0,0.25113244514637645,0.01236309550828213,0.01730691967734957,0.0007548756881500693,7.325904636474225,7.3087718363026655
2020-07-19,5559.0,28.0,19192.0,342.0,2245686.0,162750,7488,45733290.0,3770479,141222,2240127.0,162722.0,0.2475412858253558,0.01215525933078508,0.017204301075268817,0.0007426112173015683,7.263963159231597,7.247228686468189
2020-07-20,6399.0,31.0,20697.0,367.0,2280284.0,163922,7494,46468487.0,3832438,141736,2273885.0,163891.0,0.2806229399495852,0.013770622658749359,0.01891143348665829,0.0008088845794765629,7.207532482953184,7.188665973185796
2020-07-21,6906.0,34.0,21204.0,370.0,2310029.0,164864,7517,47223345.0,3896872,142843,2303123.0,164830.0,0.29895728581762393,0.014624122878207801,0.02062305900621118,0.0008724946572533046,7.156804043900391,7.136880099773639
2020-07-22,7538.0,37.0,21836.0,373.0,2349662.0,166475,7540,48019740.0,3968186,144059,2342124.0,166438.0,0.3208120997828624,0.015697710983024898,0.0222255593933023,0.0009324159704207414,7.106284722755926,7.085061596093396
2020-07-23,8290.0,43.0,22588.0,379.0,2389368.0,168096,7560,48793933.0,4037265,145153,2381078.0,168053.0,0.34695367143110645,0.01698981715616161,0.025580620597753664,0.0010650774720014663,7.057853627642605,7.035165784425002
2020-07-24,9128.0,46.0,23426.0,383.0,2433765.0,169696,7577,49837057.0,4110374,146285,2424637.0,169650.0,0.3750567536306915,0.01831568826385555,0.027107297755987178,0.0011191195740338957,6.996923663212266,6.972571304131664
2020-07-25,9128.0,46.0,23426.0,383.0,2471965.0,171122,7589,50634646.0,4176830,147184,2462837.0,171076.0,0.3692608916388379,0.01802718241577121,0.02688140624817382,0.0011013136756822758,6.946298110674803,6.92250901610662
2020-07-26,9128.0,46.0,24532.0,417.0,2512809.0,172663,7590,51490457.0,4231636,147656,2503681.0,172617.0,0.3632588071755553,0.017727556778142403,0.02664149238690397,0.001087050020370372,6.894528496242133,6.871314134898435
2020-07-27,9963.0,50.0,26415.0,455.0,2543376.0,173894,7608,52251297.0,4288224,148776,2533413.0,173844.0,0.3917234415988827,0.019067469272580927,0.028753148469757437,0.0011659838665144357,6.862047364563141,6.837133007467241
2020-07-28,10704.0,52.0,27253.0,467.0,2571707.0,174968,7638,52984540.0,4354027,150150,2561003.0,174916.0,0.4162215991168512,0.02020211933518721,0.029719720177403867,0.0011942966821289808,6.8299802850679985,6.803574435190323
2020-07-29,11449.0,52.0,27998.0,467.0,2609894.0,176363,7654,53824408.0,4425342,151582,2598445.0,176311.0,0.43867681982486645,0.021271018902799636,0.02948464247035943,0.0011750504254812396,6.785250409379456,6.757477506749316
2020-07-30,12185.0,56.0,28734.0,471.0,2651028.0,178135,7670,54643678.0,4493130,152791,2638843.0,178079.0,0.45963301783308214,0.022299011424523802,0.03143683161647066,0.0012463472011715665,6.7483741927807,6.719468824923766
2020-07-31,13243.0,57.0,29792.0,479.0,2700849.0,180115,7692,55371946.0,4560286,154034,2687606.0,180058.0,0.49032730078578995,0.023916443175033074,0.031646448102601116,0.0012499216057940226,6.6995683147008895,6.668828949711739
2020-08-01,13243.0,57.0,29794.0,479.0,2740658.0,181754,7700,56084993.0,4618193,155149,2727415.0,181697.0,0.4832051281115703,0.023612377022138524,0.03136107045787163,0.0012342489800664458,6.6618758054788145,6.631765072475296
2020-08-02,13243.0,57.0,30929.0,484.0,2779603.0,183224,7714,56810895.0,4665527,155552,2766360.0,183167.0,0.47643494412691306,0.02331066954674803,0.031109461642579574,0.0012217269345992424,6.621227895140184,6.591732704274675
2020-08-03,15139.0,58.0,33727.0,495.0,2808078.0,184522,7723,57542585.0,4710367,156082,2792939.0,184464.0,0.5391232009937046,0.026309210821863493,0.03143256630645668,0.0012313265611787786,6.6046555259531265,6.57111376535837
2020-08-04,16898.0,61.0,35947.0,516.0,2850676.0,185993,7742,58238171.0,4767841,157460,2833778.0,185932.0,0.5927716794191974,0.029015334289945335,0.0327969332179168,0.0012794050808321838,6.561276147955133,6.524522604462941
