Timestamp,Several,A Few,Many,A Couple,Dozens,Some,Scores Of
9/22/2021 15:07:50,7,3,10,2,24,5,80
9/22/2021 15:35:44,6,3,25,4,20,8,100
9/22/2021 15:36:05,4,3,15,2,24,5,40
9/22/2021 15:36:06,5,5,50,2,24,10,100
9/22/2021 15:36:07,6,4,15,3,60,4,120
9/22/2021 15:36:10,8,5,25,2,24,15,50
9/22/2021 15:36:14,7,3,10,4,24,4,20
9/22/2021 15:36:16,6,3,20,2,101,8,50
9/22/2021 15:36:17,3,3,22,2,24,8,50
9/22/2021 15:36:20,3,3,10,2,24,5,30
9/22/2021 15:36:21,10,5,50,4,36,15,250
9/22/2021 15:36:21,5,3,10,2,36,8,100
9/22/2021 15:36:22,20,3,5,2,36,7,40
9/22/2021 15:36:25,10,3,30,2,2,5,60
9/22/2021 15:36:26,4,3,9,2,24,5,40
9/22/2021 15:36:27,7,3,25,3,24,10,100
9/22/2021 15:36:27,7,4,10,3,24,5,200
9/22/2021 15:36:27,5,3,15,2,24,8,40
9/22/2021 15:36:29,3,5,10,2,30,5,20
9/22/2021 15:36:30,5,2,50,3,24,15,80
9/22/2021 15:36:30,20,10,40,2,50,25,200
9/22/2021 15:36:30,4,3,20,2,40,8,30
9/22/2021 15:36:30,12,3,25,2,24,5,56
9/22/2021 15:36:32,15,5,25,2,24,10,40
9/22/2021 15:36:32,3,3,20,2,24,6,35
9/22/2021 15:36:34,9,5,17,4,60,5,75
9/22/2021 15:36:35,6,3,5,2,24,4,12
9/22/2021 15:36:38,2,3,1,1,1,3,1
9/22/2021 15:36:38,5,6,30,5,30,9,20
9/22/2021 15:36:45,7,4,20,2,72,5,60
9/22/2021 15:36:47,10,10,20,6,25,10,15
9/22/2021 15:36:49,10,5,50,5,30,10,100
9/22/2021 15:36:49,7,4,100,2,48,15,60
9/22/2021 15:36:49,10,4,15,4,12,8,40
9/22/2021 15:36:51,10,2,15,3,50,15,70
9/22/2021 15:36:51,3,4,20,2,25,8,50
9/22/2021 15:36:58,50,4,10,2,36,25,200
9/22/2021 15:37:01,8,5,15,3,40,6,60
9/22/2021 15:37:02,6,3,100,10,30,8,500
9/22/2021 15:37:16,10,6,35,6,24,8,400
9/22/2021 15:37:20,7,3,25,2,24,8,100
9/22/2021 15:37:57,5,3,10,2,36,8,40
