School,Year (Fall),4.0 GPA,3.75-3.99,3.50-3.74,3.25-3.49,3.00-3.24,2.5-2.99,2.0-2.49,1.0-1.99,<1.00,CHECK,Avg.,%GPAs,
UCLA,https://apb.ucla.edu/campus-statistics/common-data-set-undergraduate-profile,,,,,,,,,,,,,
UCLA,2024,56.31,36.12,5.23,1.65,0.6,0.09,0,0,0,100,3.93,100,
UCLA,2023,59,34.4,4.5,1.4,0.4,0.2,0.1,0,0,100,3.93,100,
UCLA,2022,59.1,34,4.9,1.6,0.3,0.1,0,0,0,100,3.93,98.6,
UCLA,2021,55.4,36.4,5.7,1.7,0.6,0.2,0,0,0,100,3.92,99.9,
UCLA,2020,47.3,42.2,7.2,2.1,0.8,0.3,0.1,0,0,100,3.9,98.7,
UCLA,2019,47.7,41.2,7.2,2.7,0.9,0.4,0.1,0,0,100.2,3.9,5845,"# of GPAs, not %"
UCLA,2018,43.2,42.7,9.6,2.9,1.1,0.3,0,0,0,99.8,3.89,6198,"# of GPAs, not %"
UCLA,2017,38.5,44.4,11.9,3.5,1.3,0.4,0,0,0,100,3.87,5813,"# of GPAs, not %"
,,,,,,,,,,,0,,,
UIUC,https://www.dmi.illinois.edu/stuenr/index.htm#CDS,,,,,,,,,,0,,,
UIUC,2024,Not Reported,,,,,,,,,0,Not Reported,,
UIUC,2023,Not Reported,,,,,,,,,0,Not Reported,,
UIUC,2022,Not Reported,,,,,,,,,0,Not Reported,,
UIUC,2021,Not Reported,,,,,,,,,0,Not Reported,,
UIUC,2020,Not Reported,,,,,,,,,0,Not Reported,,
UIUC,2019,Not Reported,,,,,,,,,0,Not Reported,,
UIUC,2018,Not Reported,,,,,,,,,0,Not Reported,,
UIUC,2017,Not Reported,,,,,,,,,0,Not Reported,,
,,,,,,,,,,,0,,,
Indiana (Bloomington),https://iuia.iu.edu/apps/cds/,,,,,,,,,,0,,,
Indiana (Bloomington),2024,40.38,24.11,16.63,10.98,6.05,1.83,0.03,0,0,100.01,3.76,95.18,
Indiana (Bloomington),2023,41.65,23.63,17.23,11.27,5.02,1.16,0.04,0,0,100,3.78,94.88,
Indiana (Bloomington),2022,39.37,24.3,17.55,11.96,5.2,1.56,0.05,0,0,99.99,3.76,94.04,
Indiana (Bloomington),2021,36.7,22.91,18.58,12.47,6.99,2.27,0.09,0,0,100.01,3.74,94.9,
Indiana (Bloomington),2020,38.2,24,17.68,11.51,6.63,1.95,0.04,0,0,100.01,3.75,95.76,
Indiana (Bloomington),2019,35.9,23.32,17.99,12.14,7.56,3.01,0.08,0,0,100,3.73,95.51,
Indiana (Bloomington),2018,*,58.18,17.89,12.84,8.17,2.8,0.1,0.01,0,99.99,3.72,97.04,
Indiana (Bloomington),2017,*,58.4,18.6,12.7,7.5,2.7,0.1,0,0,100,3.72,96.5,
Indiana (Bloomington),2016,*,54.02,19.09,14.81,8.95,3.04,0.12,0,0,100.03,3.69,97.69,
Indiana (Bloomington),2015,*,48.33,20.58,16.15,10.59,4.11,0.23,0.01,0,100,3.64,97.99,
Indiana (Bloomington),2014,*,44.53,22.41,17.07,11.69,4.1,0.19,0,0,99.99,3.63,97.02,
Indiana (Bloomington),2013,*,44.3,21.26,19.05,11.57,3.87,0.22,0,0,100.27,3.62,96.43,
Indiana (Bloomington),2012,*,41.62,23.06,17.83,12.8,4.47,0.19,0,0,99.97,3.6,97.08,
Indiana (Bloomington),2011,*,42.47,23.51,19.35,11.02,3.44,0.19,0,0,99.98,3.63,97.99,
Indiana (Bloomington),2010,*,42.6,22.7,19,11.2,4,0,0,0,99.5,3.61,97.9,
Indiana (Bloomington),2009,*,42,22,18,12,5,1,0,0,100,3.6,98,
Indiana (Bloomington),2008,*,37.42,24.54,20.7,11.97,4.98,0.35,0.01,0.01,99.98,3.58,95.5,
