Country_Region,Date,Tests,Confirmed
Michigan,2020-03-08,36.0,7.0
Michigan,2020-03-09,309.0,41.0
Michigan,2020-03-10,309.0,41.0
Michigan,2020-03-11,309.0,41.0
Michigan,2020-03-12,309.0,41.0
Michigan,2020-03-13,309.0,41.0
Michigan,2020-03-14,309.0,41.0
Michigan,2020-03-15,309.0,41.0
Michigan,2020-03-16,488.0,81.0
Michigan,2020-03-17,488.0,81.0
Michigan,2020-03-18,488.0,81.0
Northwestern,2020-03-19,,7.0
Michigan,2020-03-19,488.0,81.0
Michigan,2020-03-20,488.0,81.0
Northwestern,2020-03-20,,7.0
Northwestern,2020-03-21,,7.0
Michigan,2020-03-21,488.0,81.0
Michigan,2020-03-22,488.0,81.0
Northwestern,2020-03-22,,7.0
Michigan,2020-03-23,608.0,101.0
Northwestern,2020-03-23,,7.0
Michigan,2020-03-24,608.0,101.0
Northwestern,2020-03-24,,7.0
Michigan,2020-03-25,608.0,101.0
Northwestern,2020-03-25,,7.0
Northwestern,2020-03-26,,7.0
Michigan,2020-03-26,608.0,101.0
Northwestern,2020-03-27,,8.0
Michigan,2020-03-27,608.0,101.0
Michigan,2020-03-28,608.0,101.0
Northwestern,2020-03-28,,8.0
Northwestern,2020-03-29,,8.0
Michigan,2020-03-29,608.0,101.0
Michigan,2020-03-30,714.0,110.0
Northwestern,2020-03-30,,8.0
Michigan,2020-03-31,714.0,110.0
Northwestern,2020-03-31,,8.0
Michigan,2020-04-01,714.0,110.0
Northwestern,2020-04-01,,8.0
Northwestern,2020-04-02,,8.0
Michigan,2020-04-02,714.0,110.0
Michigan,2020-04-03,714.0,110.0
Northwestern,2020-04-03,,10.0
Northwestern,2020-04-04,,10.0
Michigan,2020-04-04,714.0,110.0
Michigan,2020-04-05,714.0,110.0
Northwestern,2020-04-05,,10.0
Northwestern,2020-04-06,,10.0
Michigan,2020-04-06,800.0,114.0
Northwestern,2020-04-07,,10.0
Michigan,2020-04-07,800.0,114.0
Northwestern,2020-04-08,,10.0
Michigan,2020-04-08,800.0,114.0
Michigan,2020-04-09,800.0,114.0
Northwestern,2020-04-09,,10.0
Northwestern,2020-04-10,,15.0
Michigan,2020-04-10,800.0,114.0
Northwestern,2020-04-11,,15.0
Michigan,2020-04-11,800.0,114.0
Northwestern,2020-04-12,,15.0
Michigan,2020-04-12,800.0,114.0
Northwestern,2020-04-13,,15.0
Michigan,2020-04-13,924.0,119.0
Michigan,2020-04-14,924.0,119.0
Northwestern,2020-04-14,,15.0
Michigan,2020-04-15,924.0,119.0
Northwestern,2020-04-15,,15.0
Northwestern,2020-04-16,,15.0
Michigan,2020-04-16,924.0,119.0
Northwestern,2020-04-17,,17.0
Michigan,2020-04-17,924.0,119.0
Michigan,2020-04-18,924.0,119.0
Northwestern,2020-04-18,,17.0
Northwestern,2020-04-19,,17.0
Michigan,2020-04-19,924.0,119.0
Northwestern,2020-04-20,,17.0
Michigan,2020-04-20,1054.0,120.0
Michigan,2020-04-21,1054.0,120.0
Northwestern,2020-04-21,,17.0
Michigan,2020-04-22,1054.0,120.0
Northwestern,2020-04-22,,17.0
Northwestern,2020-04-23,,17.0
Michigan,2020-04-23,1054.0,120.0
Michigan,2020-04-24,1054.0,120.0
Northwestern,2020-04-24,,17.0
Northwestern,2020-04-25,,17.0
Michigan,2020-04-25,1054.0,120.0
Northwestern,2020-04-26,,17.0
Michigan,2020-04-26,1054.0,120.0
Northwestern,2020-04-27,,17.0
Michigan,2020-04-27,1217.0,124.0
Northwestern,2020-04-28,,17.0
Michigan,2020-04-28,1217.0,124.0
Northwestern,2020-04-29,,17.0
Michigan,2020-04-29,1217.0,124.0
Northwestern,2020-04-30,,17.0
Michigan,2020-04-30,1217.0,124.0
Northwestern,2020-05-01,,18.0
Michigan,2020-05-01,1217.0,124.0
Northwestern,2020-05-02,,18.0
Michigan,2020-05-02,1217.0,124.0
Northwestern,2020-05-03,,18.0
Michigan,2020-05-03,1217.0,124.0
Michigan,2020-05-04,1379.0,125.0
Northwestern,2020-05-04,,18.0
Northwestern,2020-05-05,,18.0
