Country_Region,Date,Tests,Confirmed
Illinois,2020-07-06,99.0,0
Illinois,2020-07-07,335.0,0
Illinois,2020-07-08,933.0,2
Illinois,2020-07-09,1652.0,3
Illinois,2020-07-10,2382.0,8
Illinois,2020-07-11,2382.0,8
Illinois,2020-07-12,2382.0,8
Illinois,2020-07-13,3051.0,10
Illinois,2020-07-14,3679.0,12
Illinois,2020-07-15,4217.0,18
Illinois,2020-07-16,4834.0,25
Illinois,2020-07-17,5559.0,28
Illinois,2020-07-18,5559.0,28
Illinois,2020-07-19,5559.0,28
Illinois,2020-07-20,6399.0,31
Illinois,2020-07-21,6906.0,34
Illinois,2020-07-22,7538.0,37
Illinois,2020-07-23,8290.0,43
Illinois,2020-07-24,9128.0,46
Illinois,2020-07-25,9128.0,46
Illinois,2020-07-26,9128.0,46
Illinois,2020-07-27,9963.0,50
Illinois,2020-07-28,10704.0,52
Illinois,2020-07-29,11449.0,52
Illinois,2020-07-30,12185.0,56
Illinois,2020-07-31,13243.0,57
Illinois,2020-08-01,13243.0,57
Illinois,2020-08-02,13243.0,57
Illinois,2020-08-03,15139.0,58
Illinois,2020-08-04,16898.0,61
Illinois,2020-08-05,18303.0,66
Illinois,2020-08-06,20126.0,71
Illinois,2020-08-07,22635.0,77
Illinois,2020-08-08,22635.0,77
Illinois,2020-08-09,22635.0,77
Illinois,2020-08-10,26745.0,79
Illinois,2020-08-11,30355.0,83
Illinois,2020-08-12,32793.0,87
Illinois,2020-08-13,32793.0,87
Illinois,2020-08-14,32793.0,87
Illinois,2020-08-15,34429.0,93
Illinois,2020-08-16,36882.0,100
Illinois,2020-08-17,45946.0,124
Illinois,2020-08-18,52108.0,144
Illinois,2020-08-19,58408.0,173
Illinois,2020-08-20,69150.0,225
Illinois,2020-08-21,80027.0,279
Illinois,2020-08-22,83353.0,322
Illinois,2020-08-23,87827.0,375
Illinois,2020-08-24,105483.0,454
Illinois,2020-08-25,121333.0,543
Illinois,2020-08-26,128145.0,597
Illinois,2020-08-27,143268.0,657
Illinois,2020-08-28,158298.0,722
Illinois,2020-08-29,161193.0,772
Illinois,2020-08-30,164833.0,876
Illinois,2020-08-31,182060.0,1106
Illinois,2020-09-01,196427.0,1305
Illinois,2020-09-02,203516.0,1425
