instructor,instructor_first_name,course,course_name,num_excellence_awards,num_outstanding_awards,uiuc_award,national_award,rmp_num_reviews,rmp_rating,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,term,num_sections,gened,num_semesters,num_students,avg_gpa,total_faculty_awards,teaching_next_semester
Wang,Yu,AAS 100: Intro Asian American Studies,Intro Asian American Studies,0.0,0.0,[],[],0.0,,0.2138157894736842,0.4144736842105263,0.10526315789473684,0.05592105263157895,0.0625,0.029605263157894735,0.02631578947368421,0.029605263157894735,0.003289473684210526,0.0,0.013157894736842105,0.003289473684210526,0.04276315789473684,"['fa2020', 'fa2021', 'fa2022', 'fa2023', 'fa2024', 'sp2021', 'sp2022', 'sp2024', 'sp2025', 'fa2025', 'sp2023']",14.0,"Social & Beh Sci - Soc Sci, Cultural Studies - US Minority",9,304.0,3.493618421052632,0,True
Horton,Christina,AAS 100: Intro Asian American Studies,Intro Asian American Studies,0.0,0.0,[],[],0.0,,0.12280701754385964,0.5964912280701754,0.07017543859649122,0.017543859649122806,0.03508771929824561,0.0,0.08771929824561403,0.05263157894736842,0.0,0.0,0.017543859649122806,0.0,0.0,"['fa2020', 'sp2021']",4.0,"Social & Beh Sci - Soc Sci, Cultural Studies - US Minority",2,57.0,3.62561403508772,0,False
Roy,Sayak,AAS 100: Intro Asian American Studies,Intro Asian American Studies,0.0,0.0,[],[],0.0,,0.17307692307692307,0.17307692307692307,0.19230769230769232,0.09615384615384616,0.07692307692307693,0.11538461538461539,0.038461538461538464,0.0,0.0,0.019230769230769232,0.019230769230769232,0.038461538461538464,0.057692307692307696,"['fa2023', 'sp2024', 'fa2024', 'fa2025', 'sp2025']",2.0,"Social & Beh Sci - Soc Sci, Cultural Studies - US Minority",3,52.0,3.109615384615385,0,True
Atienza,Paul,AAS 100: Intro Asian American Studies,Intro Asian American Studies,0.0,0.0,[],[],0.0,,0.0,0.5233644859813084,0.11214953271028037,0.102803738317757,0.1308411214953271,0.037383177570093455,0.028037383177570093,0.037383177570093455,0.018691588785046728,0.0,0.0,0.0,0.009345794392523364,"['fa2016', 'fa2021', 'sp2022']",6.0,"Social & Beh Sci - Soc Sci, Cultural Studies - US Minority",3,107.0,3.5110280373831775,0,False
Lee,Sang,AAS 100: Intro Asian American Studies,Intro Asian American Studies,0.0,0.0,[],[],7.0,3.5,0.07931034482758621,0.5206896551724138,0.1413793103448276,0.06551724137931035,0.07931034482758621,0.03103448275862069,0.017241379310344827,0.017241379310344827,0.0034482758620689655,0.006896551724137931,0.0034482758620689655,0.0034482758620689655,0.03103448275862069,"['fa2018', 'fa2022', 'fa2023', 'sp2019', 'sp2020', 'sp2022', 'sp2023']",17.0,"Social & Beh Sci - Soc Sci, Cultural Studies - US Minority",7,290.0,3.5531724137931047,0,False
Guruparan,Akil,AAS 100: Intro Asian American Studies,Intro Asian American Studies,0.0,0.0,[],[],0.0,,0.07142857142857142,0.3979591836734694,0.25510204081632654,0.05102040816326531,0.11224489795918367,0.04081632653061224,0.030612244897959183,0.0,0.01020408163265306,0.0,0.01020408163265306,0.0,0.02040816326530612,"['fa2020', 'sp2021', 'sp2024']",6.0,"Social & Beh Sci - Soc Sci, Cultural Studies - US Minority",3,98.0,3.5279591836734694,0,False
Kim,Gabriel,AAS 100: Intro Asian American Studies,Intro Asian American Studies,0.0,0.0,[],[],0.0,,0.4791666666666667,0.22916666666666666,0.0625,0.0,0.16666666666666666,0.020833333333333332,0.0,0.0,0.020833333333333332,0.0,0.0,0.0,0.020833333333333332,"['fa2024', 'sp2025', 'fa2025']",2.0,"Social & Beh Sci - Soc Sci, Cultural Studies - US Minority",1,48.0,3.6531249999999993,0,True
Rana,Junaid,AAS 100: Intro Asian American Studies,Intro Asian American Studies,5.0,1.0,[],[],26.0,3.3,0.1449814126394052,0.4349442379182156,0.05204460966542751,0.05947955390334572,0.1524163568773234,0.05204460966542751,0.011152416356877323,0.04460966542750929,0.01486988847583643,0.0,0.0037174721189591076,0.0,0.02973977695167286,"['fa2016', 'fa2021', 'sp2019']",22.0,"Social & Beh Sci - Soc Sci, Cultural Studies - US Minority",3,269.0,3.4487360594795535,0,False
Zheng,Reanne,AAS 100: Intro Asian American Studies,Intro Asian American Studies,0.0,0.0,[],[],0.0,,0.07048458149779736,0.42290748898678415,0.15859030837004406,0.11894273127753303,0.1145374449339207,0.05286343612334802,0.013215859030837005,0.00881057268722467,0.013215859030837005,0.00881057268722467,0.0,0.0,0.01762114537444934,"['fa2021', 'fa2022', 'fa2023', 'sp2022', 'sp2024', 'sp2023']",9.0,"Social & Beh Sci - Soc Sci, Cultural Studies - US Minority",6,227.0,3.5186343612334796,0,False
Rosado-Torres,Alexander,AAS 100: Intro Asian American Studies,Intro Asian American Studies,0.0,0.0,[],[],0.0,,0.3625,0.3875,0.0625,0.0125,0.0875,0.05,0.0,0.0125,0.025,0.0,0.0,0.0,0.0,"['fa2021', 'sp2022']",3.0,"Social & Beh Sci - Soc Sci, Cultural Studies - US Minority",2,80.0,3.7337499999999997,0,False
Kang,Yoonjung,AAS 100: Intro Asian American Studies,Intro Asian American Studies,0.0,0.0,[],[],0.0,,0.06,0.24,0.32,0.16,0.12,0.02,0.0,0.0,0.02,0.0,0.02,0.0,0.04,"['fa2018', 'fa2019', 'fa2020', 'sp2018', 'sp2019', 'sp2020', 'sp2021', 'fa2017']",12.0,"Social & Beh Sci - Soc Sci, Cultural Studies - US Minority",8,50.0,3.3739999999999997,0,False
Siglos,David,AAS 100: Intro Asian American Studies,Intro Asian American Studies,2.0,0.0,[],[],0.0,,0.5612903225806452,0.1935483870967742,0.07741935483870968,0.03225806451612903,0.07096774193548387,0.012903225806451613,0.012903225806451613,0.012903225806451613,0.0064516129032258064,0.0064516129032258064,0.0064516129032258064,0.0,0.0064516129032258064,"['fa2024', 'fa2025', 'sp2025']",6.0,"Social & Beh Sci - Soc Sci, Cultural Studies - US Minority",1,155.0,3.7399354838709673,0,True
